INFO 2025-04-29 08:29:41,022 basehttp 7840 27864 "GET /progress-chart/ HTTP/1.1" 200 69315
INFO 2025-04-29 08:29:57,081 basehttp 7840 27864 "GET / HTTP/1.1" 200 156707
INFO 2025-04-29 08:30:16,535 basehttp 7840 27864 "GET /progress-chart/ HTTP/1.1" 200 69315
INFO 2025-04-29 08:30:18,284 basehttp 7840 27864 "GET / HTTP/1.1" 200 156707
INFO 2025-04-29 08:30:20,697 basehttp 7840 27864 "GET /progress-chart/ HTTP/1.1" 200 69315
INFO 2025-04-29 08:30:22,216 basehttp 7840 27864 "GET / HTTP/1.1" 200 156707
INFO 2025-04-29 08:30:23,614 basehttp 7840 27864 "GET /progress-chart/ HTTP/1.1" 200 69315
INFO 2025-04-29 08:30:24,454 basehttp 7840 27864 "GET / HTTP/1.1" 200 156707
INFO 2025-04-29 08:31:03,020 autoreload 19408 33568 Watching for file changes with StatReloader
INFO 2025-04-29 08:31:03,998 basehttp 19408 23468 "GET / HTTP/1.1" 200 156707
INFO 2025-04-29 08:31:14,288 basehttp 19408 23468 "GET /progress-chart/ HTTP/1.1" 200 69315
